,0
X_Minimum,718.104
X_Maximum,746.584
Y_Minimum,1445930.352
Y_Maximum,1445963.75
Pixels_Areas,583.512
X_Perimeter,52.184
Y_Perimeter,43.112
Sum_of_Luminosity,61552.412
Minimum_of_Luminosity,94.804
Maximum_of_Luminosity,130.184
Length_of_Conveyer,1486.63
Steel_Plate_Thickness,100.434
Edges_Index,0.3888644
Empty_Index,0.4186428
Square_Index,0.5103224000000001
Outside_X_Index,0.0198538
Edges_X_Index,0.6256006
Edges_Y_Index,0.8374429999999999
Outside_Global_Index,0.611
LogOfAreas,2.2643112000000003
Log_X_Index,1.2140754
Log_Y_Index,1.2994936
Orientation_Index,0.13194599999999998
Luminosity_Index,-0.122632
SigmoidOfAreas,0.5270244000000001
